DATE,ATNHPIUS06037A
1975-01-01,18.43
1976-01-01,21.42
1977-01-01,25.71
1978-01-01,30.38
1979-01-01,35.66
1980-01-01,41.68
1981-01-01,45.23
1982-01-01,43.23
1983-01-01,47.45
1984-01-01,48.89
1985-01-01,51.68
1986-01-01,55.36
1987-01-01,61.24
1988-01-01,74.16
1989-01-01,92.34
1990-01-01,96.96
1991-01-01,95.32
1992-01-01,93.45
1993-01-01,86.77
1994-01-01,81.73
1995-01-01,78.20
1996-01-01,77.59
1997-01-01,78.77
1998-01-01,86.40
1999-01-01,91.68
2000-01-01,100.00
2001-01-01,109.51
2002-01-01,123.14
2003-01-01,137.71
2004-01-01,169.49
2005-01-01,213.02
2006-01-01,247.08
2007-01-01,246.67
2008-01-01,204.11
2009-01-01,172.96
2010-01-01,171.67
2011-01-01,163.90
2012-01-01,163.25
2013-01-01,178.19
2014-01-01,201.73
2015-01-01,213.18
2016-01-01,229.45
2017-01-01,245.13
2018-01-01,261.57
2019-01-01,270.95
2020-01-01,278.57
2021-01-01,310.72
